Trial,Learning Rate,Batch Size,Kernel Sizes,Epochs,Activation Function,F1 Score,Accuracy,Precision,Recall,AUC Score
0,0.23723374018054644,128,"(5, 7, 9)",32,ReLU,0.57605958732887,0.7630872483221476,0.5690912542403069,0.6469153338622746,0.6469153338622745
1,2.1297972902154096e-05,64,"(3, 5, 7)",13,GELU,0.4814926728288982,0.8013422818791947,0.6609526523653143,0.5134636231371128,0.5134636231371128
2,0.30245738475778744,64,"(3, 4, 5)",31,SiLU,0.7938471297840994,0.8765100671140941,0.8142108714020161,0.779518120915266,0.779518120915266
3,1.3081517731112763e-05,64,"(2, 4, 6)",35,ReLU,0.48458400028024284,0.8087248322147651,0.6952345238030608,0.5169074008665828,0.5169074008665828
4,1.0493034502944958e-05,32,"(3, 5, 7)",36,SiLU,0.5374944555438711,0.8214765100671141,0.7816381363420837,0.5471439693267934,0.5471439693267934
5,0.06577827862711559,128,"(3, 4, 5)",8,GELU,0.5926149050463186,0.8167785234899329,0.7580585077168122,0.604623346610417,0.604623346610417
6,0.0003551981734425009,64,"(3, 4, 5)",24,SiLU,0.7759663008266711,0.8832214765100671,0.8413585664100935,0.7420485634634499,0.7420485634634499
7,0.002292632419202348,64,"(3, 5, 7)",16,SiLU,0.8164956543479356,0.8986577181208053,0.8559488968838871,0.7931870995735809,0.793187099573581
8,6.76501219216503e-05,128,"(3, 5, 7)",20,GELU,0.5797838875481365,0.8221476510067113,0.755820502099996,0.5731736459270471,0.573173645927047
9,6.531783103129122e-05,16,"(2, 4, 6)",42,GELU,0.7517791729742413,0.8744966442953019,0.8143888709818251,0.7262924084384539,0.7262924084384539
10,0.007468844894046271,32,"(5, 7, 9)",17,LeakyReLU,0.8146500821797578,0.8885906040268455,0.8160451042274666,0.8178651712071752,0.817865171207175
11,0.006739442439028946,32,"(5, 7, 9)",17,LeakyReLU,0.8084792206611621,0.887248322147651,0.8099272561679873,0.8113764032206328,0.8113764032206328
12,0.004381361297659928,32,"(5, 7, 9)",7,LeakyReLU,0.7564949296023785,0.870469798657718,0.8214879733523283,0.7315798230683299,0.7315798230683297
13,0.0010005680988019563,16,"(5, 7, 9)",23,LeakyReLU,0.8012732725350455,0.8919463087248323,0.8313103092693869,0.7834145063386841,0.7834145063386841
14,0.021552381286743298,32,"(3, 5, 7)",14,SiLU,0.7979676805736993,0.8731543624161076,0.7957220718553473,0.8084120410763754,0.8084120410763754
15,0.0008446494423456013,64,"(5, 7, 9)",5,LeakyReLU,0.6832472299499018,0.8604026845637585,0.8254669245190887,0.6625141705998997,0.6625141705998997
16,0.021178889700955262,32,"(3, 5, 7)",26,SiLU,0.8182550264525841,0.889261744966443,0.8311437731274649,0.8083993396075229,0.8083993396075229
17,0.032357906328637186,16,"(3, 5, 7)",45,SiLU,0.81999461508538,0.8906040268456377,0.8173904182850867,0.8301864849384755,0.8301864849384755
18,0.09676477610292128,16,"(3, 5, 7)",46,SiLU,0.7952741957083458,0.8731543624161073,0.8280994558706738,0.7804124917170561,0.7804124917170561
19,0.6997862053068226,16,"(3, 5, 7)",42,SiLU,0.4599024832936074,0.789261744966443,0.4903720397178558,0.5070793695428426,0.5070793695428426
20,0.03211596576817921,16,"(3, 5, 7)",27,SiLU,0.8169589369754939,0.8919463087248323,0.8244908681853318,0.811598060390503,0.811598060390503
21,0.01851526407888035,16,"(3, 5, 7)",27,SiLU,0.829699502696036,0.8919463087248323,0.8451269117957014,0.8244071395946808,0.8244071395946808
22,0.01798041794855796,16,"(3, 5, 7)",49,SiLU,0.821463990806065,0.8912751677852349,0.8322029709887666,0.813384801965026,0.813384801965026
23,0.010769591730973936,16,"(3, 5, 7)",50,SiLU,0.8132955084957821,0.8885906040268455,0.8331205666607323,0.8016188521220604,0.8016188521220604
24,0.06998555412930471,16,"(2, 4, 6)",50,ReLU,0.8149047802168411,0.8885906040268458,0.8165188072463024,0.8148339475791927,0.8148339475791927
25,0.001667192900618524,16,"(3, 5, 7)",41,SiLU,0.8221760242067756,0.8966442953020135,0.8462675030373212,0.8078605960039649,0.8078605960039651
26,0.0019179813957384305,16,"(3, 5, 7)",39,SiLU,0.8073420738257919,0.8838926174496644,0.8188810344104377,0.79890874790302,0.79890874790302
27,0.00038176056328073887,16,"(3, 5, 7)",31,SiLU,0.7811799430565497,0.8778523489932887,0.8471129172719287,0.7489542623153802,0.7489542623153802
28,0.00025230002901107285,16,"(3, 5, 7)",47,SiLU,0.7825084918638853,0.8838926174496644,0.8382445219636379,0.7516737386279698,0.7516737386279697
29,0.23838412936289202,128,"(3, 4, 5)",36,ReLU,0.6450454483908676,0.8456375838926175,0.6362207556604722,0.6629783305597482,0.6629783305597482
30,0.011924222446071338,16,"(2, 4, 6)",40,ReLU,0.8043817246817102,0.8865771812080536,0.8130211851071948,0.7991657367590469,0.7991657367590469
31,0.03200630704145093,16,"(3, 5, 7)",45,SiLU,0.8412969529203209,0.8993288590604027,0.8526605500387797,0.8396940583798227,0.8396940583798225
32,0.06837909593433614,16,"(3, 5, 7)",44,SiLU,0.8224484660499872,0.8879194630872483,0.8303707074692797,0.8168259658874504,0.8168259658874506
33,0.1427035685261123,16,"(3, 5, 7)",44,SiLU,0.8211926227970204,0.8919463087248323,0.8218361492003305,0.8239158021086046,0.8239158021086046
34,0.39387474015395785,16,"(3, 5, 7)",32,SiLU,0.5219389716873686,0.8221476510067115,0.48800157286276874,0.5644396551724138,0.5644396551724138
35,0.043387167012355385,16,"(3, 5, 7)",39,SiLU,0.8222756867672768,0.8946308724832216,0.8336210544355754,0.8170745635878353,0.8170745635878353
36,0.04704337425990742,128,"(3, 5, 7)",37,GELU,0.782419013150802,0.8704697986577182,0.7953376827888722,0.7858428818818509,0.7858428818818509
37,0.13222100297645573,16,"(3, 4, 5)",29,SiLU,0.8048140076940113,0.8919463087248323,0.8392415164247844,0.7837251197977804,0.7837251197977804
38,0.4928195352046529,16,"(3, 5, 7)",33,SiLU,0.4424384877574775,0.6288590604026845,0.47380955361956556,0.5252969950834441,0.5252969950834441
39,0.15615510492702875,64,"(2, 4, 6)",38,ReLU,0.7891413461273796,0.8691275167785235,0.8049594351362762,0.7774527571257583,0.7774527571257583
40,0.05092367642997647,128,"(3, 4, 5)",43,GELU,0.762488199615792,0.8530201342281879,0.7799681858186075,0.7679504976810895,0.7679504976810895
41,0.005058948325777218,16,"(3, 5, 7)",40,SiLU,0.8143925620067026,0.8879194630872483,0.8291104463224597,0.8059278327647611,0.805927832764761
42,0.0033403057936993497,16,"(3, 5, 7)",34,SiLU,0.8229466384618129,0.8986577181208053,0.8385846242298536,0.8110005869320751,0.8110005869320751
43,0.01023198100058288,16,"(3, 5, 7)",34,SiLU,0.8123462822807879,0.8899328859060402,0.820516642967991,0.8052129360129581,0.8052129360129581
44,0.003650460183691978,16,"(3, 5, 7)",30,SiLU,0.8057179789118545,0.8845637583892618,0.8117596707311765,0.8082493708542087,0.8082493708542087
45,0.03413562348163489,16,"(3, 5, 7)",35,SiLU,0.8294891463181872,0.9053691275167786,0.8484077031238375,0.8201572519394043,0.8201572519394043
46,0.01686336599851468,64,"(3, 5, 7)",23,SiLU,0.8111970926700109,0.8986577181208053,0.8253652345957893,0.7993073192178628,0.7993073192178628
47,0.07088264640811566,16,"(3, 5, 7)",20,GELU,0.7839301908868201,0.8523489932885907,0.8079508953584531,0.7931413474162156,0.7931413474162156
48,0.006577879712017714,16,"(5, 7, 9)",35,SiLU,0.8092840548191029,0.8859060402684564,0.8313809186251326,0.7942050131167118,0.7942050131167118
49,0.024258029575826966,32,"(2, 4, 6)",25,LeakyReLU,0.7833048891275816,0.8812080536912752,0.8370460214626861,0.7608844494482405,0.7608844494482406
50,0.0958589410457459,128,"(3, 5, 7)",29,SiLU,0.7476572597819502,0.8563758389261744,0.7739761319318614,0.7514133567532314,0.7514133567532315
51,0.03723744535121791,16,"(3, 5, 7)",47,SiLU,0.8196406790203297,0.8973154362416107,0.8534581256416971,0.7997733309693796,0.7997733309693794
52,0.01278339452219299,16,"(3, 5, 7)",44,SiLU,0.8240972775929188,0.8932885906040269,0.8234414398195536,0.825382295936411,0.825382295936411
53,0.0030962694351851787,16,"(3, 5, 7)",48,SiLU,0.8238722039761501,0.8939597315436242,0.851809948560639,0.8048412030325259,0.8048412030325259
54,0.0027243260365655783,16,"(3, 5, 7)",49,SiLU,0.824089172252447,0.9026845637583893,0.841607794770502,0.8120592929832589,0.8120592929832589
55,0.0006820951585514133,16,"(3, 5, 7)",48,SiLU,0.8010754886190474,0.8845637583892616,0.8382857796993342,0.7796257675268439,0.7796257675268438
56,0.001226749032036379,64,"(3, 4, 5)",45,LeakyReLU,0.8430191808925087,0.9073825503355705,0.8860010011846908,0.815685346373791,0.815685346373791
57,0.001398481714224525,64,"(3, 4, 5)",45,LeakyReLU,0.8292413171639357,0.9046979865771811,0.851273896390552,0.8139506613935931,0.8139506613935932
58,0.001377067711132975,64,"(3, 4, 5)",45,LeakyReLU,0.8139819112323563,0.8966442953020135,0.8552417003022003,0.7867774081099259,0.7867774081099259
59,0.00017667942838087107,64,"(3, 4, 5)",42,LeakyReLU,0.7427100554858372,0.8731543624161073,0.852154732297701,0.7024675355025753,0.7024675355025753
60,0.0006658534927610218,64,"(3, 4, 5)",46,LeakyReLU,0.7974414704818964,0.8885906040268458,0.8612551582651349,0.7621880314100458,0.7621880314100458
61,0.0023530070035435243,64,"(3, 4, 5)",50,LeakyReLU,0.8282261298853045,0.8993288590604027,0.8580767178914581,0.8091030589134748,0.8091030589134748
62,0.005564236576026012,64,"(3, 4, 5)",43,LeakyReLU,0.8064209678154877,0.8885906040268455,0.8232355776912537,0.7933944098606647,0.7933944098606647
63,0.0011668929850269243,64,"(3, 4, 5)",46,LeakyReLU,0.806340768540271,0.8906040268456377,0.8521170372238736,0.7789433230725048,0.7789433230725048
64,0.014395462100243533,64,"(3, 4, 5)",50,LeakyReLU,0.8065085571442248,0.8859060402684562,0.8262115326313456,0.791983020772913,0.791983020772913
65,0.0022068221643947697,64,"(3, 4, 5)",44,LeakyReLU,0.8067560104662238,0.8879194630872483,0.8444910645365893,0.7821733159159012,0.7821733159159012
66,0.008052244588097472,64,"(3, 4, 5)",47,LeakyReLU,0.8246228909609693,0.8966442953020135,0.8345118097885861,0.8173223182987412,0.8173223182987414
67,0.00038008998405399905,64,"(3, 4, 5)",48,LeakyReLU,0.780433873090313,0.8818791946308725,0.8517545196137046,0.7441188496622267,0.7441188496622267
68,0.024736554537716542,64,"(3, 4, 5)",47,LeakyReLU,0.812098742058464,0.8859060402684564,0.8276831659675595,0.8003322800646828,0.8003322800646828
69,0.007096299414564564,64,"(3, 4, 5)",11,LeakyReLU,0.792183986440915,0.8738255033557047,0.8017531599500323,0.8041661670978503,0.8041661670978503
70,0.000679567829334948,64,"(3, 4, 5)",41,LeakyReLU,0.8142440978279991,0.8993288590604026,0.8543936665658272,0.7875001179764599,0.7875001179764598
71,0.010261005343724964,64,"(3, 4, 5)",45,LeakyReLU,0.8293798858565374,0.8986577181208053,0.8369810329965569,0.8241383762895611,0.8241383762895611
72,0.008379763460755914,64,"(3, 4, 5)",20,LeakyReLU,0.8015972832270046,0.889261744966443,0.8158202375114992,0.791505116312724,0.7915051163127239
73,0.004288702295008052,64,"(3, 4, 5)",45,LeakyReLU,0.8579682336937339,0.9140939597315437,0.8762195102844552,0.8439317543829317,0.8439317543829317
74,0.001869927517309444,64,"(3, 4, 5)",45,LeakyReLU,0.8266607956007777,0.9006711409395972,0.85761392964985,0.804352991944922,0.804352991944922
75,0.004205122760270037,64,"(5, 7, 9)",27,LeakyReLU,0.7941701133583662,0.878523489932886,0.8147868309491948,0.7788067154897302,0.7788067154897302
76,0.029760291632943903,32,"(3, 4, 5)",49,LeakyReLU,0.8052231608689013,0.8885906040268455,0.8152210231498259,0.7975319229458554,0.7975319229458554
77,3.6185318658286254e-05,64,"(3, 4, 5)",42,ReLU,0.6641645407055969,0.8456375838926175,0.822387163416743,0.6355821102757094,0.6355821102757093
78,0.0009267752855067286,64,"(3, 4, 5)",38,LeakyReLU,0.8092882564102766,0.9053691275167786,0.850534415581207,0.7838552660967277,0.7838552660967277
79,0.0014353344975390544,64,"(3, 4, 5)",40,LeakyReLU,0.8228149929329517,0.8979865771812081,0.8549653396306889,0.802231097428568,0.802231097428568
80,0.017446588575413688,64,"(2, 4, 6)",23,GELU,0.814045389967459,0.8838926174496645,0.8309740047145835,0.8069801048647459,0.8069801048647459
81,0.0017644709641085547,64,"(3, 4, 5)",45,LeakyReLU,0.8234568470280894,0.9033557046979865,0.855194462365224,0.8019236838938653,0.8019236838938653
82,0.0022066069237632003,64,"(3, 4, 5)",43,LeakyReLU,0.8094426850914621,0.8879194630872483,0.8402569971482693,0.7890901421105674,0.7890901421105674
83,0.0005082600255996672,64,"(3, 4, 5)",45,LeakyReLU,0.7953443925219077,0.889261744966443,0.8525757519081922,0.7643533921304335,0.7643533921304335
84,0.00492696340454567,64,"(3, 4, 5)",46,LeakyReLU,0.8330468915227897,0.9033557046979865,0.8569636660938036,0.814255002863842,0.814255002863842
85,0.010163503787849198,128,"(5, 7, 9)",50,LeakyReLU,0.7900200585639959,0.8812080536912752,0.804429540332886,0.7800955974661463,0.7800955974661463
86,0.004766887207375348,32,"(3, 4, 5)",41,ReLU,0.8083997340695177,0.8926174496644295,0.8326818606157025,0.7927681530356836,0.7927681530356836
87,0.002989578973151027,64,"(3, 4, 5)",43,LeakyReLU,0.8354462453624493,0.9006711409395972,0.8535022000084969,0.8213829617222524,0.8213829617222524
88,0.003752604904489873,64,"(3, 4, 5)",43,LeakyReLU,0.8467126940248237,0.9100671140939596,0.8525382278345315,0.8445334853888038,0.8445334853888038
89,0.00365065427072735,64,"(3, 4, 5)",43,GELU,0.8229601664427948,0.8959731543624161,0.8406653714594554,0.8103146028178895,0.8103146028178895
90,0.0145710917955737,64,"(2, 4, 6)",39,LeakyReLU,0.8344031986761976,0.9053691275167784,0.8507782854828456,0.8214035491655662,0.8214035491655662
91,0.005969905961073459,64,"(2, 4, 6)",39,LeakyReLU,0.8307271252448224,0.9,0.8579554540205999,0.812317573948139,0.8123175739481387
92,0.014720628475859187,64,"(2, 4, 6)",36,LeakyReLU,0.8265312737017003,0.9,0.835089305270224,0.819535297694733,0.819535297694733
93,0.021917263060759556,64,"(2, 4, 6)",38,LeakyReLU,0.8366641336595272,0.9080536912751678,0.8420420434561835,0.834432243716998,0.834432243716998
94,0.02162640629698296,64,"(2, 4, 6)",39,LeakyReLU,0.8342551373390326,0.9100671140939598,0.8448605601925605,0.8270348695509433,0.8270348695509433
95,0.0058710948243897694,64,"(2, 4, 6)",38,LeakyReLU,0.8429998919573658,0.9093959731543624,0.8642278686907382,0.8271872712673629,0.8271872712673629
96,0.023575750721519864,64,"(2, 4, 6)",37,LeakyReLU,0.8359657518834915,0.9026845637583893,0.8517260116003417,0.8238477004107747,0.8238477004107747
97,0.04763617777193032,64,"(2, 4, 6)",38,LeakyReLU,0.8080152933930741,0.8912751677852349,0.8303879065314685,0.791616279787173,0.7916162797871727
98,0.021696222764673586,64,"(2, 4, 6)",37,LeakyReLU,0.8141355191263555,0.8899328859060402,0.8234200009470743,0.8080443334126748,0.8080443334126748
99,0.058257763775166525,64,"(2, 4, 6)",41,LeakyReLU,0.8121074516761763,0.8939597315436242,0.8275825008699831,0.8013759946262894,0.8013759946262894
